model,total_samples,avg_similarity,std_similarity,min_similarity,max_similarity,accuracy_100,accuracy_95,accuracy_90,avg_input_length,avg_levenshtein_distance
anthropic/claude-3-7-sonnet-20250219,3400,0.9329,0.2391,0.0,1.0,0.7585,0.9162,0.9285,183.7224,inf
anthropic/claude-sonnet-4-20250514,3400,0.9232,0.2517,0.0,1.0,0.7365,0.8971,0.9144,178.8429,inf
openai/gpt-5,3400,0.9146,0.2654,0.0,1.0,0.6582,0.8879,0.9082,176.1441,inf
openai/gpt-4o,3400,0.9304,0.2318,0.0,1.0,0.6253,0.8906,0.9221,188.4109,inf
openrouter/qwen/qwen3-max,3400,0.9225,0.2444,0.0,1.0,0.6129,0.8718,0.9203,176.5721,inf
openai/gpt-4.1,3400,0.9219,0.2462,0.0,1.0,0.6012,0.8759,0.9147,179.5124,inf
openrouter/deepseek/deepseek-chat,3400,0.9002,0.2585,0.0,1.0,0.5906,0.8182,0.8615,203.1512,inf
anthropic/claude-3-5-haiku-20241022,3400,0.8687,0.3131,0.0,1.0,0.5785,0.8079,0.8482,200.0097,inf
openrouter/moonshotai/kimi-k2,3400,0.9002,0.265,0.0,1.0,0.5638,0.8047,0.87,193.1268,inf
openai/gpt-4.1-mini,3400,0.8754,0.3032,0.0,1.0,0.5159,0.7809,0.86,167.3803,inf
openrouter/qwen/qwen3-vl-235b-a22b-instruct,3399,0.9082,0.247,0.0,1.0,0.5049,0.7799,0.8838,194.0056,inf
openai/gpt-5-mini,3400,0.8633,0.3157,0.0,1.0,0.4918,0.7676,0.8418,156.9891,inf
openrouter/google/gemini-2.5-flash,3400,0.8659,0.3005,0.0,1.0,0.4638,0.6826,0.8153,166.8635,inf
openrouter/x-ai/grok-4-fast,3400,0.7425,0.4071,0.0,1.0,0.4024,0.6159,0.6976,159.1976,inf
openrouter/meta-llama/llama-4-maverick-17b-128e-instruct,3400,0.766,0.3719,0.0,1.0,0.3312,0.5124,0.66,166.1462,inf
openai/gpt-4o-mini,3400,0.7031,0.3912,0.0,1.0,0.2526,0.4165,0.5353,151.0009,inf
openrouter/qwen/qwen-2.5-72b-instruct,3400,0.707,0.3632,0.0,1.0,0.2156,0.3621,0.4832,180.0253,inf
openai/gpt-5-nano,3400,0.6482,0.3743,0.0,1.0,0.1603,0.2703,0.3862,175.16,inf
openrouter/meta-llama/llama-4-scout-17b-16e-instruct,3400,0.5277,0.4195,0.0,1.0,0.1268,0.2109,0.3109,145.7694,inf
openrouter/meta-llama/llama-3.1-8b-instruct,3400,0.0882,0.1257,0.0,1.0,0.0038,0.0038,0.0047,149.1418,inf
